Code,Atmospheric Observatory,Latitude,Longitude
SGI,"Bird Island, South Georgia",-54.0,-38.05
SGP,"Southern Great Plains, Oklahoma",36.607,-97.489
SHM,"Shemya Island, Alaska",52.711,174.126
SIO,"La Jolla, California",32.83,-117.27
SLC,Salt Lake City,40.77,-111.97
SMO,Tutuila,-14.247,-170.564
SMR,Hyytiala,61.847,24.295
SNP,Shenandoah National Park,38.617,-78.35
SNS,Sierra Nevada,37.096,-3.387
SPL,Storm Peak Laboratory (Desert Research Institute),40.45,-106.73
SPO,"South Pole, Antarctica",-89.98,-24.8
STC,Ocean Station Charlie,54.0,-35.0
STM,Ocean Station M,66.0,2.0
STR,"Sutro Tower, San Francisco, California",37.755,-122.453
SUM,Summit,72.596,-38.422
SUV,Suva,-18.0,178.0
SVA,"Sterling, Virginia",38.98,-77.47
SXF,"Sioux Falls, South Dakota",43.734,-96.623
SYO,"Syowa Station, Antarctica",-69.013,39.59
TAC,Tacolneston,52.518,1.139
TAL,"Tallahassee, Florida",30.43,-84.33
TAP,Tae-ahn Peninsula,36.738,126.133
TBL,Table Mountain,40.125,-105.237
TBP,Tambopata,-12.82,-69.292
TGC,"Offshore Corpus Christi, Texas",27.73,-96.86
THD,"Trinidad Head, California",41.054,-124.151
TIK,Hydrometeorological Observatory of Tiksi,71.597,128.889
TLH,"Tallahassee, Florida",30.38,-84.37
TMD,"Thurmont, Maryland",39.577,-77.488
TPI,Taiping Island,10.379,114.371
TUN,"Tundra Lab, Niwot Ridge, Colorado",40.054,-105.589
UGR,University of Granada,37.164,-3.605
ULB,Ulaanbaatar,47.4,106.0
USH,Ushuaia,-54.848,-68.311
UTA,"Wendover, Utah",39.902,-113.718
UUM,Ulaan Uul,44.452,111.096
VAR,Varrio,67.755,29.609
WAI,"Wallops Island, Virginia",37.86,-75.51
WBI,"West Branch, Iowa",41.725,-91.353
WGC,"Walnut Grove, California",38.264,-121.49
WHI,Whistler,50.059,-122.958
WIS,"Weizmann Institute of Science at the Arava Institute, Ketura",29.965,35.06
WKT,"Moody, Texas",31.315,-97.327
WLG,Mt. Waliguan,36.288,100.896
WPC,Western Pacific Cruise (0 N),0.0,151.1
WPC,Western Pacific Cruise (5 N),5.0,149.1
WPC,Western Pacific Cruise (10 N),10.0,148.0
WPC,Western Pacific Cruise (15 N),15.0,145.0
WPC,Western Pacific Cruise (20 N),20.0,142.0
WPC,Western Pacific Cruise (25 N),25.0,140.0
WPC,Western Pacific Cruise (30 N),30.0,136.8
WPC,Western Pacific Cruise (5 S),-5.0,153.7
WPC,Western Pacific Cruise (10 S),-10.0,156.8
WPC,Western Pacific Cruise (15 S),-15.0,159.3
WPC,Western Pacific Cruise (20 S),-20.0,161.1
WPC,Western Pacific Cruise (25 S),-25.0,165.5
WPC,Western Pacific Cruise (30 S),-30.0,168.0
WSA,"Sable Island, Nova Scotia",43.932,-60.009
WVR,"Weaverville, California",40.731,-122.942
ZEP,"Ny-Alesund, Svalbard",78.907,11.888
